alias,source_url,canonical
Agnes Christin Maggy Mashishi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,Agnes Christin Mashishi
Agnes Noluthando Daphne Qikani,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,Agnes Daphne Noluthando Qikani
Alan Winde,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1337,Alan Richard Winde
Albert Fritz,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1338,Albert Theo Fritz
Ndlanzi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/841,Alexia Zintle Ndlazi
Alfred Mtsi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1339,Skuta Alfred Mtsi
Andrew Louw,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/701,A Louw
A M Figlan,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/625,Archibold Mzuvukile Figlan
Andricus van der Westhuizen,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,Andricus Pieter Van der Westhuizen
Angela Woodhall,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1343,Angela Shelagh Woodhall
Anroux Marais,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1344,Anroux Johanna Du Toit Marais
Anton Bredell,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1345,Anton Wilhelm Bredell
Archibold Figlan,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1346,Archie Figlan
Watty Watson,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/999,Armiston Watson
Butch Steyn,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/956,Arron Cecil Steyn
Aucahalie Mothupi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1336,AUCHALIE MOTHUPI
Basil Alexander,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1348,B Alexander
Nombasa Beauty Dlulane,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/607,Beauty Nomvuzo Dlulane
Bev Abrahams,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1018,Beverley Lynnette Abrahams
Beverley Lynette Abrahams,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1018,Beverley Lynnette Abrahams
B.F. Scott,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1876,Belinda Francis Scott
Bhekiziswe Abram Radebe,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/899,Bhekizizwe Abram Radebe
B M Komphela,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/682,Butana Moses Komphela
B.M. Radebe,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1877,Bonginkosi Meshack Radebe
B.N. Mdletshe,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1878,Bonga Nkanyiso Mdletshe
Joggie Boers,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1351,Boers Joggie
BOITUMELO MOILOA,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1350,Boitumelo Theodora Moiloa
Bonisile Nesi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1058,Bonisile Alfred Nesi
Budang Lemias Mashile,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1046,Buoang Lemias Mashile
Pinky Mncube,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1051,Busisiwe Veronica Mncube
Buyelwa Tshungwana,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1356,Buyelwa Glenrose Tshungwana
Blaai,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/597,Buyiswa Cornelia Diemu
Connie Diemu,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/597,Buyiswa Cornelia Diemu
B W Dhlamini,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/595,Bonginkosi Wesley Dhlamini
Carol Beerwinkel,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1362,Carol Frances Beerwinkel
Cecelia Kots,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/687,Cecilia Mampe Papadi Kotsi
Kekane,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/671,Charles Danny Kekana
Kekana,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/671,Charles Danny Kekana
China Dodovu,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1358,CHINA DODOVU
Chris Hattingh,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1359,CHRIS HATTINGH
Patricia Chueu,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1366,Mamonare Patricia Chueu
Chueu Patricia,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1366,Mamonare Patricia Chueu
Mokone Collen Maine,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1361,COLLEN MAINE
Constance Croats,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3735,Constance Yvette Croats
Barbara Creecy,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1367,Barbara Dallas Creecy
Creecy Barbara,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1367,Barbara Dallas Creecy
Cronje M. C.,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1961,Catharina Magdalena Cronje
Dacre Haddon,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1371,Dacre Berrangé Haddon
Boshigo,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/565,Dalitha Fiki Boshigo
