category,id,label,selector
Person,f8ido8wbkeh0ouv,FREDDIE ADAMS,FREDDIE ADAMS
Person,jdx2cezlq8syzox,Jacob Zuma,Jacob Zuma
Person,n2j5o7u33q23255,DERRICK AMERICA,DERRICK AMERICA
Person,i41jpjyachkzgv0,TARNIA ELENA BAKER,TARNIA ELENA BAKER
Person,jy5hs1999hflmuu,VATISWA BAM-MUGWANYA,VATISWA BAM-MUGWANYA
Person,jewlhkykl9bcovy,KOPENG OBED BAPELA,KOPENG OBED BAPELA
Person,e4ek0259np3b8bi,JOYCE VUYISWA BASSON,JOYCE VUYISWA BASSON
Person,ovv5ao87hch06n4,FRANCOIS BEUKMAN,FRANCOIS BEUKMAN
Person,gzq6vgrwj3ybtt6,LEONARD JONES BASSON,LEONARD JONES BASSON
Person,pc7y0bn7apqxobb,DARREN BERGMAN,DARREN BERGMAN
Person,bljnecu3fkwbar1,EBRAHIM ISMAIL EBRAHIM,EBRAHIM ISMAIL EBRAHIM
Person,ev3p3orofytavkt,MAPULE VERONICA MAFOLO,MAPULE VERONICA MAFOLO
Person,kuvkapcseu7sgj6,MZAMENI RICHARD MDAKANE,MZAMENI RICHARD MDAKANE
Person,h66pv0o74ym8b9n,THANDI CECILIA MEMELA,THANDI CECILIA MEMELA
Company,emhfpudtw1m7j0m,MMI HOLDINGS LIMITED,MMI HOLDINGS LIMITED
Person,esqkrvetpi3qor1,Fezile Bhengu,FEZILE BHENGU
Person,em1536yze5gmtai,Ntombovuyo Veronica Mente-Nqweniso,Ntombovuyo Veronica Mente-Nqweniso
Person,chyl10hh6i2twiu,HLENGIWE OCTAVIA MAXON,HLENGIWE OCTAVIA MAXON
Person,bnijvoyt0ehu939,CAMERON MACKENZIE,CAMERON MACKENZIE
Person,m3wvm9pbtxayemb,MALCOLM JOHN FIGG,MALCOLM JOHN FIGG
Person,mllq7hfmykzjoca,GREGORY ALLEN GROOTBOOM,GREGORY ALLEN GROOTBOOM
Person,jxp5fwajqfic61w,JOSEPH JOB MC GLUWA,JOSEPH JOB MC GLUWA
Person,lnyoxemswen0fyk,MAKOTI SIBONGILE KHAWULA,MAKOTI SIBONGILE KHAWULA
Person,hhujmgmdyfhpxeu,BENNET MZWENQABA BHANGA,BENNET MZWENQABA BHANGA
Person,j37r1h6466o5v9t,PHUMZILE BHENGU,PHUMZILE BHENGU
Person,mrh259xfjhn98cg,GAVIN RICHARD DAVIS,GAVIN RICHARD DAVIS
Person,grpvwyfrpckaitu,MANUEL SIMÃO FRANCA DE FREITAS,MANUEL SIMÃO FRANCA DE FREITAS
Person,fsc4d3fexi42lmw,Nozabelo Ruth Bhengu,NOZABELO RUTH BHENGU
Person,pa16bjet227zyj0,Bathabile Olive Dlamini,BATHABILE OLIVE DLAMINI
Person,nvgwu5zoe5dhvig,NKHENSANI KATE BILANKULU,NKHENSANI KATE BILANKULU
Person,t3ow3wvr4fk8eee,MOHAMMED HANIFF HOOSEN,MOHAMMED HANIFF HOOSEN
Person,dnyfyzag2eii2ts,CHRISTIAN HANS HEINRICH HUNSINGER,CHRISTIAN HANS HEINRICH HUNSINGER
Person,eyt347zli8k5ydd,LUNGISWA VERONICA JAMES,LUNGISWA VERONICA JAMES
Person,o1259gxvsxa3rpw,BENEDICT ANTHONY DUKE MARTINS,BENEDICT ANTHONY DUKE MARTINS
Person,jvk5ost3uyc3den,NATASHA WENDY ANITA MICHAEL,NATASHA WENDY ANITA MICHAEL
Person,exdy8ctytr1y0aa,Mlungisi Johnson,MLUNGISI JOHNSON
Person,mdsfykgjrszfokc,TIMOTHY JAMES BRAUTESETH,TIMOTHY JAMES BRAUTESETH
Person,lw2r3q9atl32eim,MICHAEL JOHN CARDO,MICHAEL JOHN CARDO
Person,djzv67u282riopa,YUNUS ISMAIL CARRIM,YUNUS ISMAIL CARRIM
Person,bcnk6snre5imk5i,ELSIE MMATHULARE COLEMAN,ELSIE MMATHULARE COLEMAN
Person,ho7n32jir0gla7y,ROBERT HAYDN DAVIES,ROBERT HAYDN DAVIES
Person,bx0dacfi67d8mg9,LEFU PETER KHOARAI,LEFU PETER KHOARAI
Person,oo6pmz5cwv9fool,MAKHOSI BUSISIWE KHOZA,MAKHOSI BUSISIWE KHOZA
Person,v3q2oibby2qi0xo,JEROME JOSEPH MAAKE,JEROME JOSEPH MAAKE
Person,hsdw9zbvyx4bfp6,BONGANI THOMAS BONGO,BONGANI THOMAS BONGO
Person,fe7hjmp8enrn69w,TREVOR JOHN BONHOMME,TREVOR JOHN BONHOMME
Person,ksrcks4ew33j6nv,HILDEGARD SONJA BOSHOFF,HILDEGARD SONJA BOSHOFF
Person,lxnl8ihbs5lnwu6,Belinda Bozzoli,Belinda Bozzoli
Person,kvgs7c1b6qk761f,GLYNNIS BREYTENBACH,GLYNNIS BREYTENBACH
Person,mhuvkdvruuzh3bv,Shela Paulina Boshielo,SHELA PAULINA BOSHIELO
Person,lzj1by31v3w455e,Mmatlala Grace Boroto,MMATLALA GRACE BOROTO
Person,om5duk39wscypts,ROSEMARY NOKUZOLA CAPA,ROSEMARY NOKUZOLA CAPA
Person,irx5xc403mmdwho,ROGER WILLIAM TOBIAS CHANCE,ROGER WILLIAM TOBIAS CHANCE
Person,czota20yiaj6j8g,ZEPHROMA SIZANI DLAMINI-DUBAZANA,ZEPHROMA SIZANI DLAMINI-DUBAZANA
Person,ne1a9nr383whp4k,STEVEN MAHLUBANZIMA JAFTA,STEVEN MAHLUBANZIMA JAFTA
Person,mmrxv9boqspwuig,DIPUO BERTHA LETSATSI-DUBA,DIPUO BERTHA LETSATSI-DUBA
Person,j62eek3srp3kb0m,GRATITUDE MAGWANISHE,GRATITUDE MAGWANISHE
Person,o7jmi9165vy23q7,MADALA BACKSON MASUKU,MADALA BACKSON MASUKU
Person,hl2ta0p36wbkdfw,CASSEL CHARLIE MATHALE,CASSEL CHARLIE MATHALE
Person,kbjhwmgfkz5fg6o,DEIDRE CARTER,DEIDRE CARTER
Person,n713n22opxkl2oj,BHEKOKWAKHE HAMILTON CELE,BHEKOKWAKHE HAMILTON CELE
Person,df938qs22ye76g3,GODRICH AHMED GARDEE,GODRICH AHMED GARDEE
Person,d0gkboa0bnnk8fm,DALTON HLAMALANI KHOSA,DALTON HLAMALANI KHOSA
Person,bv8rejs33s1blzo,NHLANHLAKAYISE MOSES KHUBISA,NHLANHLAKAYISE MOSES KHUBISA
Person,hrjmkchv9llqcjd,NQABAYOMZI LAWRENCE SAZISO KWANKWA,NQABAYOMZI LAWRENCE SAZISO KWANKWA
Person,mlye30lh8mc6nhw,Mamonare Patricia Chueu,MAMONARE PATRICIA CHUEU
Person,uk412u3wwxi5dpe,YUSUF CASSIM,YUSUF CASSIM
Person,f9cjfwxa8ummjhz,ZELDA JONGBLOED,ZELDA JONGBLOED
Person,mrnloloueibrzr7,ZWELEDINGA PALLO JORDAN,ZWELEDINGA PALLO JORDAN
Person,lbu0nq2kivikov5,ZOLISWA ALBERTINA KOTA-FREDERICKS,ZOLISWA ALBERTINA KOTA-FREDERICKS
Person,hbh8f4avagejxma,PULENG PETER MABE,PULENG PETER MABE
Person,gqfeov5avlxrsfi,Mduduzi Comfort Manana,MDUDUZI COMFORT MANANA
Person,fq7s53rer9uf2b0,FATIMA ISMAIL CHOHAN,FATIMA ISMAIL CHOHAN
Person,1wxbyb0y09b4g2c,JOANMARIAE LOUISE FUBBS,JOANMARIAE LOUISE FUBBS
Person,e028774tgxlehz3,STANFORD MAKASHULE GANA,STANFORD MAKASHULE GANA
Person,b1inz8aordwflct,DEREK ANDRÉ HANEKOM,DEREK ANDRÉ HANEKOM
Person,ja2atc5zxpvcg9s,WILMOT GODFREY JAMES,WILMOT GODFREY JAMES
Company,eum65iry8fv039i,IVUZI INVESTMENTS,IVUZI INVESTMENTS LIMITED
Person,eo5a3l8ah3dzl11,JEREMY PATRICK CRONIN,JEREMY PATRICK CRONIN
Person,bomb2i0n78jsw51,BEAUTY NOMVUZO DLULANE,BEAUTY NOMVUZO DLULANE
Person,kewffxev32p0f4s,SANGO PATEKILE HOLOMISA,SANGO PATEKILE HOLOMISA
Person,hfgcxya754j7tu0,NOCAWE NONCEDO MAFU,NOCAWE NONCEDO MAFU
Person,jzovqae8zee32vh,DIKELEDI PHILLISTUS MAGADZI,DIKELEDI PHILLISTUS MAGADZI
Person,ixgzdvg5s58dbum,DIKELEDI GLADYS MAHLANGU,DIKELEDI GLADYS MAHLANGU
Person,d5i9mrzs7600lt9,MMUSI ALOYSIAS MAIMANE,MMUSI ALOYSIAS MAIMANE
Person,f02d2oxttqqq2pd,Jabulani Lukas Mahlangu,JABULANI LUKAS MAHLANGU
Person,fpjjx8sth5p65hw,KAREN DE KOCK,KAREN DE KOCK
Person,dbh8mbxirpn8nlu,ANGELA THOKOZILE DIDIZA,ANGELA THOKOZILE DIDIZA
Person,ge1veyiz2ejs8q1,DORRIES EUNICE DLAKUDE,DORRIES EUNICE DLAKUDE
Person,iof6ap4h221lksn,ANCHEN MARGARETHA DREYER,ANCHEN MARGARETHA DREYER
Person,csgvhb6rdh49cho,SHAHID ESAU,SHAHID ESAU
Person,h464ip38nuqrs8z,JAN ADRIAAN ESTERHUIZEN,JAN ADRIAAN ESTERHUIZEN
Person,orr1akoesxpk017,Ayanda Dlodlo,AYANDA DLODLO
Person,dhk4v907f6xsrjb,Mervyn Alexander Dirks,MERVYN ALEXANDER DIRKS
Person,bpq6f35jnt50hq6,CHERYLLYN DUDLEY,CHERYLLYN DUDLEY
Person,mkd5olh4td2dusd,MARY-ANN LINDELWA DUNJWA,MARY-ANN LINDELWA DUNJWA
Person,dihp7t08fx8npww,NELSON THEMBA GODI,NELSON THEMBA GODI
Person,m4zpa61ardgiic3,PRAVIN JAMNADAS GORDHAN,PRAVIN JAMNADAS GORDHAN
Person,d86k2id2vod5kae,TANDEKA GQADA,TANDEKA GQADA
Person,g9o67vteks7kvqo,LANCE WILLIAM GREYLING,LANCE WILLIAM GREYLING
Person,dyz8lc2i9g53jku,PETRUS JOHANNES GROENEWALD,PETRUS JOHANNES GROENEWALD
Person,je4zxwvcpvhavdz,MZIWAMADODA UPPINGTON KALAKO,MZIWAMADODA UPPINGTON KALAKO
